News_Article,Date
Throw 1k into apple right now?,2024-06-26
APPLE (j/w other thoughts),2024-06-26
I’m down 7% on AMZN,2024-06-26
"2021 sucks already, AMZN to uranus",2024-06-26
"So, when you google “what happens when you owe robinhood margin” this is the first result (stfu don’t ask why I googled that)",2024-06-26
 SPAC merger confirmed + Secret deal with Amazon confirmed. $NGA (soon to be $LEV) to the moon ,2024-06-26
 $NGA (soon to be $LEV) to the moon. SPAC Merger confirmed + Secret deal with Amazon confirmed (3% equity stake with warrants up to 20% stake) ,2024-06-26
 $NGA (soon to be $LEV) to the moon. SPAC Merger confirmed + Secret deal with Amazon confirmed (3% equity stake with warrants up to 20% stake)  Link in comment.,2024-06-26
Solid TA of AAPL ready for launch (includes rockets!),2024-06-27
"The first dip was apple calls years ago, the second dip was palantir calls because of all you retards and the rise is QS puts for this week. Cashing out now.",2024-06-27
"Is there a Bull case for AMZN in the short term? I mean of course there is but buying it would be more of a secure store of value I don’t see this growing as exponential as we’ve seen it. It is already at 1.7T valuation, thoughts?",2024-06-28
$AAPL Right now,2024-06-28
Apple's new car,2024-06-28
Good luck everyone here’s my play on the apple dip,2024-06-28
Got in on the AAPL dip. What did you guys buy this morning? Good luck all,2024-06-28
14-Inch and 16-Inch MacBook Pro Models Expected to Boost Apple Silicon's Market Share in Second Half of 2021,2024-06-28
[Serious DD] Canoo/$GOEV and the potential Apple/Hyundai partnership,2024-06-29
Stock Market News for Today | TSLA vs FB | LMND SPIKES | APPLE CAR & other stock market news [01-08],2024-06-29
"“Canadian EV maker Lion Electric partners with Amazon, gives retailer right to buy 15.8% of the company”",2024-06-29
"Tesla trading at 3x Toyota market cap, meanwhile a huge threat from Apple looms",2024-06-29
Are there stocks (in general) today that would see substantial growth like Apple and Amazon over the next 20yrs?,2024-06-29
"AAPL for diversification (lol). All in OTM spreads, risk 1 reward 3. 2 weeks out",2024-06-30
"u/onemanstrong is a fraud. Verified with google, Tesla is only up 23k% since inception. These gains are impossible with shares alone. Sad.",2024-06-30
"The House has just called to split large tech firms (AMZN, AAPL, FB, GOOGL) for being monopolistic; What does this mean for shareholders?",2024-06-30
Remember when Amazon was overvalued? This is Tesla right now. ,2024-07-01
"Load me up, technical analysis is saying we mooning off da MC Rib. MCD pop, easy play, free money, girls, sex, nice cars. Technical pop, same thing setting up for $AMZN, $SHOP, maybe even $BABA. I’m rambling on Bc dd has to be long like my schlong",2024-07-01
"Balls deep in $AAPL, how fucked is this",2024-07-01
Big tech hierarchy is clear: AMZN > APPL > GOOG > FB > TWTR - AMZN 3500c,2024-07-01
Korean news reporting that Apple and Hyundai are in the final stages of a deal and will start production of the Apple car as early as 2024,2024-07-01
Apple + Hyundai = Canoo $GOEV Excuse my sweet paint skills.. but connect the dots. $GOEV calls be printing this week...,2024-07-01
"Apple, Hyundai to agree on electric car tie-up early this year",2024-07-01
AMZN 3333% Earnings YOLO with less than $1000! ,2024-07-02
Apple and Hyundai are nearing a deal to produce autonomous electric cars around 2024,2024-07-02
So will this Apple/Hyundai news save my dumbass yolo from the day of the Apple split a few months ago?,2024-07-02
(New) Shares of Hyundai rose after expectations of a partnership with Apple in the field of electric cars,2024-07-02
Do we have a new or even bigger Amazon here?,2024-07-02
Someone working at Google maps really hates Chamath (IPOE DD inside),2024-07-02
$CHWY founded to take on $AMZN in pets. $GME rebooted to take on $AMZN in video games. Watch them bring a Twitch like streaming platform that will either force $AMZN to buy them out for a stupid price or allow them to soar to $20b of value.,2024-07-02
AMZN is getting hot,2024-07-02
"Most Active Equity Options For Mid-Day, January 11, 2021 - NIO, TSLA, AAPL, TWTR, AMD, FB, PLTR, NVDA, SNAP, BABA, MARA, RIOT, SNDL, BAC, GM, DKNG, F, AMZN, BA, GME",2024-07-02
Apple and Hyundai set make EV babies. How high can this  soar?,2024-07-02
I sold my AAPL for PLUG. Tell me i'm wrong. 🤣,2024-07-03
Does a $2B loan (mostly) equate to an investment in affordable housing from Amazon?,2024-07-03
"You too, start this year 2021 well: Google creates its own cryptocurrency called*Global crypto* and offers you 1,000 tokens ($100) free of charge if you register by following this linkAnd in addition you will earn 2,000 tokens for each person registered with your link, with interest depending on the",2024-07-03
Sell 1 share of Amazon to buy other stocks or hold,2024-07-03
WTF Apple?,2024-07-03
GOEV Boosted Heavily AH by AAPL Talks ,2024-07-03
"Shoulda used the whole first Stimulus check on it, but the Applebee’s tendies smack",2024-07-03
One more autist I’m adding to the bunch! I ordered Turtle Beach headphones on Amazon then remembered I’m GME gang so I went to buy them at GME and cancelled order. To the fucking moon we go boys! ,2024-07-03
My first call was $500 on Apple the day before it crashed. Finally broke even with ICLN. Now to the moon ,2024-07-03
“A CBS interview with Tim Cook will reportedly bring a huge announcement from Apple on Wednesday.”,2024-07-03
"AAPL FD's in season? ""big announcement"" that is bigger and better than a product",2024-07-03
GOEV & AAPL TALKS CONFIRMED. DEGENERATES UNITE,2024-07-03
YOLO - Who’s gonna long put AMZN?,2024-07-03
Going all in on AAPL ahead of their new product launch today ,2024-07-04
[LONG DD] - CANOO($GOEV) : A high conviction pick up even without the AAPL rumors,2024-07-04
